street_name,calculated_eq,coordinates
"Carrer de la Font",70.5,"[[2.013694,41.562812],[2.014889,41.562948]]"
"Carrer de la Font",61.7,"[[2.013689,41.56288],[2.014275,41.562919],[2.014876,41.563006]]"
"Carrer de la Font",57.2,"[[2.014876,41.563006],[2.01492,41.56306]]"
"Carrer de la Font",67.2,"[[2.014982,41.563001],[2.01488,41.562981],[2.014292,41.562893]]"
"Carrer de la Font",69.1,"[[2.014292,41.562893],[2.013966,41.562868],[2.013737,41.562854]]"
"Carrer de la Font",58.6,"[[2.013737,41.562854],[2.01369,41.56285],[2.01364,41.56285]]"
"Carrer Major",79.0,"[[2.010854,41.561899],[2.010446,41.561682],[2.010091,41.561513]]"
"Carrer Major",71.0,"[[2.010091,41.561513],[2.010057,41.561497]]"
"Carrer Major",69.3,"[[2.010066,41.56145],[2.010057,41.561497]]"
"Carrer Major",79.0,"[[2.010066,41.56145],[2.009075,41.561003],[2.009032,41.560952]]"
"Carrer Major",78.8,"[[2.010057,41.561497],[2.009048,41.561036],[2.008954,41.560993]]"
"Carrer de la Rasa",67.7,"[[2.016214,41.566519],[2.016213,41.566495],[2.016226,41.56646]]"
"Carrer de la Rasa",58.1,"[[2.012458,41.564768],[2.012389,41.5648]]"
"Carrer de la Rasa",63.6,"[[2.012389,41.5648],[2.012211,41.564768],[2.01085,41.56442]]"
"Carrer de la Rasa",71.8,"[[2.01085,41.56442],[2.010835,41.564416],[2.010756,41.564396]]"
"Carrer de la Rasa",64.2,"[[2.010158,41.564279],[2.010673,41.564405],[2.01074,41.564422]]"
"Carrer de la Rasa",58.0,"[[2.01074,41.564422],[2.010836,41.564446],[2.012203,41.564787]]"
"Carrer de la Rasa",67.2,"[[2.012203,41.564787],[2.012228,41.564794],[2.012436,41.564843]]"
"Carrer de la Creu",54.3,"[[2.016226,41.56646],[2.016982,41.566571],[2.01704,41.566629]]"
"Carrer de la Creu",63.2,"[[2.016173,41.566513],[2.016214,41.566519],[2.016894,41.566626]]"
"Carrer de la Creu",56.5,"[[2.016894,41.566626],[2.01704,41.566629]]"
"Carrer de la Creu",49.3,"[[2.01704,41.566629],[2.016213,41.566495],[2.016148,41.566484]]"
"Carrer de la Creu",57.9,"[[2.015129,41.566049],[2.016103,41.566438]]"
"Carrer de Sant Pere",64.5,"[[2.012436,41.564843],[2.012389,41.5648],[2.012352,41.564766]]"
"Carrer de Sant Pere",65.9,"[[2.012352,41.564766],[2.01229,41.56468],[2.011979,41.564315]]"
"Carrer de Sant Pere",76.1,"[[2.011979,41.564315],[2.011524,41.563786],[2.011391,41.563631]]"
"Carrer de Sant Pere",72.0,"[[2.011391,41.563631],[2.011255,41.563471],[2.01101,41.563194]]"
"Carrer de Sant Pere",62.9,"[[2.01101,41.563194],[2.010927,41.563025]]"
"Carrer de la Palla",68.3,"[[2.01195,41.562577],[2.011778,41.562834],[2.011623,41.563081]]"
"Carrer de la Palla",59.5,"[[2.011623,41.563081],[2.011503,41.563259],[2.011312,41.563446]]"
